26
0;12;15;8;0;13;11;0;0;9;5;0;0;0;1;0;0;0;15;18;0;15;0;0;0;0
12;0;0;0;0;0;0;2;17;2;13;11;0;17;13;15;0;9;0;0;0;2;3;3;0;5
15;0;0;0;11;9;0;0;13;4;0;0;0;14;5;8;0;0;4;0;0;2;1;0;0;0
8;0;0;0;0;19;0;1;0;0;15;0;10;0;0;0;0;0;0;14;0;13;0;0;9;0
0;0;11;0;0;0;0;0;0;3;0;0;8;0;8;0;4;0;0;13;0;0;5;0;0;0
13;0;9;19;0;0;0;16;4;1;15;0;0;17;9;6;0;11;0;0;15;11;9;0;0;11
11;0;0;0;0;0;0;0;0;0;12;0;16;15;0;3;0;14;19;0;0;1;0;16;11;0
0;2;0;1;0;16;0;0;11;18;13;3;6;0;0;0;6;0;4;4;0;5;0;0;0;8
0;17;13;0;0;4;0;11;0;18;5;15;11;0;15;0;0;0;0;0;0;10;0;0;15;0
9;2;4;0;3;1;0;18;18;0;0;11;4;0;5;0;16;0;0;0;0;0;0;0;0;1
5;13;0;15;0;15;12;13;5;0;0;0;8;0;9;0;0;0;0;0;0;0;0;0;0;14
0;11;0;0;0;0;0;3;15;11;0;0;0;9;2;17;0;0;4;0;1;13;0;0;4;0
0;0;0;10;8;0;16;6;11;4;8;0;0;9;0;1;0;0;0;1;13;0;0;0;0;0
0;17;14;0;0;17;15;0;0;0;0;9;9;0;11;0;0;0;15;13;1;0;0;0;10;0
1;13;5;0;8;9;0;0;15;5;9;2;0;11;0;0;0;16;0;0;0;14;0;5;0;14
0;15;8;0;0;6;3;0;0;0;0;17;1;0;0;0;0;0;0;12;0;0;0;8;7;0
0;0;0;0;4;0;0;6;0;16;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;17
0;9;0;0;0;11;14;0;0;0;0;0;0;0;16;0;0;0;0;1;0;1;9;0;7;0
15;0;4;0;0;0;19;4;0;0;0;4;0;15;0;0;0;0;0;6;0;8;0;7;2;0
18;0;0;14;13;0;0;4;0;0;0;0;1;13;0;12;7;1;6;0;2;6;0;15;0;9
0;0;0;0;0;15;0;0;0;0;0;1;13;1;0;0;0;0;0;2;0;19;0;1;0;16
15;2;2;13;0;11;1;5;10;0;0;13;0;0;14;0;0;1;8;6;19;0;0;0;13;6
0;3;1;0;5;9;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;17
0;3;0;0;0;0;16;0;0;0;0;0;0;0;5;8;0;0;7;15;1;0;0;0;0;2
0;0;0;9;0;0;11;0;15;0;0;4;0;10;0;7;0;7;2;0;0;13;0;0;0;7
0;5;0;0;0;11;0;8;0;1;14;0;0;0;14;0;17;0;0;9;16;6;17;2;7;0
