51
0;4;13;4;15;19;2;19;19;7;0;10;16;1;12;7;1;0;4;16;1;0;9;17;10;12;3;18;17;8;0;19;0;19;15;6;7;17;13;15;2;0;0;19;0;16;13;18;15;4;0
4;0;0;0;18;6;11;0;11;13;0;11;0;17;0;11;2;7;2;13;7;6;0;0;1;19;12;6;19;9;2;10;0;0;19;0;18;6;11;15;4;8;6;11;10;2;19;0;19;10;12
13;0;0;4;8;0;13;8;0;1;12;10;11;14;18;0;11;0;18;12;6;2;10;10;3;7;13;9;18;0;0;3;0;10;5;5;13;0;18;0;18;3;18;17;9;7;0;0;3;0;6
4;0;4;0;0;16;9;0;2;0;6;10;16;17;15;18;0;0;19;0;11;1;16;2;0;0;13;9;0;13;17;14;0;18;19;9;18;15;11;7;0;0;2;17;13;7;2;0;5;8;9
15;18;8;0;0;15;0;2;7;18;3;17;4;13;9;17;0;1;0;19;0;8;10;12;1;13;15;1;9;1;9;2;6;14;8;19;15;0;0;0;0;7;15;0;0;10;10;3;7;0;9
19;6;0;16;15;0;19;15;8;2;8;0;16;12;14;2;16;2;6;4;0;18;9;0;0;0;3;0;15;0;0;19;8;2;17;4;5;18;18;16;17;7;5;15;12;1;5;2;11;6;9
2;11;13;9;0;19;0;0;18;0;0;0;17;19;12;14;6;15;5;10;2;5;19;0;0;8;12;0;7;12;0;4;13;13;0;0;0;18;0;0;12;4;0;0;1;1;12;0;4;9;14
19;0;8;0;2;15;0;0;4;0;12;3;0;7;0;4;0;9;0;9;14;17;7;0;12;0;0;0;11;11;11;3;14;3;17;0;12;14;11;0;0;12;2;0;0;0;14;0;0;15;0
19;11;0;2;7;8;18;4;0;10;0;19;6;2;10;7;4;11;3;10;7;8;11;0;18;5;18;3;8;7;14;18;19;0;13;12;0;0;4;2;2;0;19;13;0;5;0;3;0;0;2
7;13;1;0;18;2;0;0;10;0;18;0;19;18;0;18;7;8;17;0;1;12;3;1;8;10;4;12;12;11;13;0;7;15;7;0;0;0;9;3;4;5;1;8;0;9;0;13;4;16;8
0;0;12;6;3;8;0;12;0;18;0;0;0;15;5;14;12;6;15;0;3;19;0;2;0;1;13;0;16;0;14;0;19;19;8;0;0;6;0;12;13;16;4;3;0;2;7;9;8;9;17
10;11;10;10;17;0;0;3;19;0;0;0;15;0;13;12;6;0;5;0;9;4;7;0;14;2;0;0;12;7;6;0;6;15;9;0;0;17;18;11;9;0;10;7;7;0;16;14;7;0;18
