31
0;4;0;3;13;0;0;2;0;0;5;0;13;0;0;18;0;4;0;15;14;0;0;2;0;0;0;0;4;16;0
4;0;0;8;0;0;1;0;0;0;0;0;0;0;4;0;8;10;15;0;0;0;9;17;0;0;18;0;0;0;6
0;0;0;10;3;17;9;0;0;0;11;0;0;0;0;0;8;1;0;18;0;16;0;0;0;15;9;13;0;8;14
3;8;10;0;14;7;19;9;0;0;3;0;17;17;0;9;0;0;0;3;0;15;14;14;0;9;6;0;15;0;5
13;0;3;14;0;0;16;11;0;0;16;18;0;0;0;5;0;0;0;0;0;0;16;0;0;18;0;0;14;6;10
0;0;17;7;0;0;0;12;0;0;0;19;0;0;0;14;0;0;12;11;0;14;7;5;0;0;0;8;14;0;0
0;1;9;19;16;0;0;0;0;3;0;0;0;1;0;0;11;0;18;0;5;0;0;0;13;14;0;18;0;0;0
2;0;0;9;11;12;0;0;0;15;0;0;0;0;0;10;18;13;0;16;2;0;18;12;0;16;0;9;0;0;5
0;0;0;0;0;0;0;0;0;0;0;0;18;8;6;0;19;5;0;16;4;0;9;0;0;0;4;3;7;11;10
0;0;0;0;0;0;3;15;0;0;0;0;0;0;4;0;0;0;2;8;0;10;0;12;0;0;0;1;0;0;14
5;0;11;3;16;0;0;0;0;0;0;0;0;13;18;13;0;0;0;0;10;0;0;8;0;0;0;5;15;4;4
0;0;0;0;18;19;0;0;0;0;0;0;0;0;5;15;4;5;0;0;19;0;0;0;1;8;8;0;10;7;0
13;0;0;17;0;0;0;0;18;0;0;0;0;19;0;2;6;8;0;0;0;14;0;0;0;0;11;0;0;0;0
0;0;0;17;0;0;1;0;8;0;13;0;19;0;0;4;0;0;11;17;0;0;4;0;0;7;0;0;12;6;0
0;4;0;0;0;0;0;0;6;4;18;5;0;0;0;0;0;12;10;0;0;5;7;14;0;13;0;0;10;0;0
18;0;0;9;5;14;0;10;0;0;13;15;2;4;0;0;9;0;0;0;0;0;7;0;1;0;0;0;0;0;0
0;8;8;0;0;0;11;18;19;0;0;4;6;0;0;9;0;0;0;0;9;0;3;0;0;0;0;0;0;11;0
4;10;1;0;0;0;0;13;5;0;0;5;8;0;12;0;0;0;15;0;0;7;0;4;0;19;0;0;0;0;2
0;15;0;0;0;12;18;0;0;2;0;0;0;11;10;0;0;15;0;6;0;0;14;0;0;8;19;0;13;0;7
15;0;18;3;0;11;0;16;16;8;0;0;0;17;0;0;0;0;6;0;0;14;0;0;0;0;0;0;0;17;0
14;0;0;0;0;0;5;2;4;0;10;19;0;0;0;0;9;0;0;0;0;0;0;0;0;17;0;0;6;0;0
0;0;16;15;0;14;0;0;0;10;0;0;14;0;5;0;0;7;0;14;0;0;0;1;17;3;14;0;0;16;0
0;9;0;14;16;7;0;18;9;0;0;0;0;4;7;7;3;0;14;0;0;0;0;19;0;0;7;19;13;7;0
2;17;0;14;0;5;0;12;0;12;8;0;0;0;14;0;0;4;0;0;0;1;19;0;0;6;4;0;0;0;16
0;0;0;0;0;0;13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;17;0;0;0;16;0;2;0;3;0
0;0;15;9;18;0;14;16;0;0;0;8;0;7;13;0;0;19;8;0;17;3;0;6;16;0;7;0;4;11;1
0;18;9;6;0;0;0;0;4;0;0;8;11;0;0;0;0;0;19;0;0;14;7;4;0;7;0;0;0;12;14
0;0;13;0;0;8;18;9;3;1;5;0;0;0;0;0;0;0;0;0;0;0;19;0;2;0;0;0;0;0;0
4;0;0;15;14;14;0;0;7;0;15;10;0;12;10;0;0;0;13;0;6;0;13;0;0;4;0;0;0;0;16
16;0;8;0;6;0;0;0;11;0;4;7;0;6;0;0;11;0;0;17;0;16;7;0;3;11;12;0;0;0;0
0;6;14;5;10;0;0;5;10;14;4;0;0;0;0;0;0;2;7;0;0;0;0;16;0;1;14;0;16;0;0
