51
0;15;19;13;7;0;1;14;3;19;10;15;9;18;13;8;1;8;11;19;15;12;11;13;9;5;11;14;2;13;14;0;6;0;9;10;13;11;0;8;12;4;14;11;5;2;13;7;10;0;0
15;0;16;5;11;19;16;2;2;0;17;8;2;12;13;19;4;19;14;0;0;19;4;13;5;4;3;10;15;5;3;12;13;4;0;12;6;12;18;5;15;6;19;16;0;9;15;19;4;15;0
19;16;0;14;11;9;0;2;10;13;3;0;0;19;16;0;17;17;18;15;15;10;4;9;9;1;0;14;14;0;1;1;10;13;6;1;0;5;14;18;10;11;10;15;11;18;0;2;7;3;17
13;5;14;0;8;4;0;2;13;8;10;19;7;13;15;7;19;17;16;19;7;13;12;6;7;10;3;8;5;19;19;0;9;4;10;3;16;0;13;4;8;11;3;7;18;6;17;3;17;16;5
7;11;11;8;0;16;8;0;8;9;16;17;19;19;6;0;0;5;7;15;8;9;0;8;8;8;19;16;8;1;7;4;7;8;0;0;19;3;3;12;12;12;10;11;19;12;0;14;4;12;13
0;19;9;4;16;0;16;10;12;15;15;7;5;0;0;13;4;0;1;1;18;3;3;10;16;4;17;18;9;19;3;17;5;11;9;16;1;0;5;12;12;3;13;8;14;11;0;15;8;3;0
1;16;0;0;8;16;0;5;18;6;10;16;2;19;13;0;9;14;16;3;16;13;2;7;18;1;10;4;17;18;0;18;2;6;4;13;0;19;9;18;19;0;4;14;7;0;18;0;3;12;14
14;2;2;2;0;10;5;0;11;12;9;8;5;13;16;17;16;10;1;17;14;3;3;3;8;4;15;8;10;14;16;7;17;5;7;4;0;18;14;13;12;13;11;18;18;15;6;15;11;19;5
3;2;10;13;8;12;18;11;0;14;7;5;19;1;16;7;17;12;7;18;2;7;0;11;8;13;10;16;12;18;2;14;3;17;18;15;7;15;0;0;13;0;8;2;4;14;18;12;15;8;12
19;0;13;8;9;15;6;12;14;0;18;4;13;10;4;18;5;14;5;16;0;14;6;4;16;12;5;17;0;12;0;12;11;9;11;3;12;11;14;9;11;17;2;6;0;8;16;3;11;13;5
10;17;3;10;16;15;10;9;7;18;0;15;14;0;3;2;1;18;4;2;18;0;13;16;13;7;14;3;10;0;19;15;18;18;3;5;8;12;8;2;18;9;1;11;10;11;7;4;13;8;18
15;8;0;19;17;7;16;8;5;4;15;0;10;8;14;5;11;7;11;5;3;15;11;0;9;8;0;2;13;6;17;0;0;7;4;14;9;5;16;4;18;15;1;12;10;12;10;17;11;10;13
9;2;0;7;19;5;2;5;19;13;14;10;0;12;0;15;17;10;9;7;7;0;0;18;7;13;19;17;0;12;0;3;7;15;13;18;4;15;1;2;0;3;6;1;0;14;1;3;4;2;10
18;12;19;13;19;0;19;13;1;10;0;8;12;0;9;15;11;12;4;15;3;9;6;7;15;7;0;13;15;13;2;0;11;9;0;3;19;4;14;5;15;3;19;17;0;1;7;0;19;12;12
13;13;16;15;6;0;13;16;16;4;3;14;0;9;0;16;4;1;16;13;8;11;4;0;16;18;8;7;6;3;9;9;5;0;1;5;3;17;2;17;17;12;5;0;12;11;10;18;16;15;16
8;19;0;7;0;13;0;17;7;18;2;5;15;15;16;0;18;8;4;10;4;0;1;8;8;16;11;14;17;11;14;1;2;8;19;3;17;16;7;6;15;14;0;7;19;19;5;7;19;17;12
1;4;17;19;0;4;9;16;17;5;1;11;17;11;4;18;0;7;18;14;17;9;10;16;6;12;13;0;13;11;12;7;2;18;2;7;2;14;1;10;14;1;0;17;3;10;15;14;13;5;9
